cache,num_banks,target_banks,bank,occupancy_pct,bit0_mean_misses,bit0_ci95,bit1_mean_misses,bit1_ci95,raw_delta_of_means
mirage,4,"0,1,2,3",2,10,203.29,2.9591804104201116,233.92,2.822861915063355,30.629999999999995
mirage,4,"0,1,2,3",2,15,435.23,4.254002791620042,478.8,4.380744939188108,43.56999999999999
mirage,4,"0,1,2,3",2,20,755.15,6.608120290807195,818.99,6.45075847692942,63.84000000000003
mirage,4,"0,1,2,3",2,25,1174.41,8.064564315972975,1250.9,8.48174360767069,76.49000000000001
mirage,4,"0,1,2,3",2,30,1683.08,8.851321105389129,1775.8,9.656523045762036,92.72000000000003
mirage,4,"0,1,2,3",2,35,2293.46,10.121182546311354,2390.71,12.285139954079202,97.25
mirage,4,"0,1,2,3",2,40,2997.33,12.431577467112051,3104.22,12.45669582247786,106.88999999999987
mirage,4,"0,1,2,3",3,1,4.72,0.43789730081447875,8.02,0.5916053776194761,3.3
mirage,4,"0,1,2,3",3,2,13.43,0.6593960518014292,20.1,0.8864433530586249,6.670000000000002
mirage,4,"0,1,2,3",3,5,56.9,1.5383947556600757,74.19,1.5447367996529444,17.29
mirage,4,"0,1,2,3",3,10,202.31,3.222739944503588,232.4,2.897791287072681,30.090000000000003
mirage,4,"0,1,2,3",3,15,435.35,4.830601689941811,481.02,5.137859192742095,45.66999999999996
mirage,4,"0,1,2,3",3,20,758.04,6.503981435981807,821.7,6.893968425113698,63.66000000000008
mirage,4,"0,1,2,3",3,25,1175.48,8.188730457072442,1249.17,7.553898602614803,73.69000000000005
mirage,4,"0,1,2,3",3,30,1687.12,9.01385984261028,1779.18,9.43437600628037,92.06000000000017
mirage,4,"0,1,2,3",3,35,2300.05,12.592207478107925,2386.27,11.391148771610776,86.2199999999998
mirage,4,"0,1,2,3",3,40,2992.74,12.951278018072736,3112.64,12.871059203366505,119.90000000000009
